campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,ETL_updated_ts,ETL_DATASOURCE_NAME,campaign_key
439725,Membership Drive,2024-11-01,INACTIVE,SMS,4249,945,87,1330.62,3115.55,3.59,2025-10-06 22:10:07.986423,1,2099837007
39545,Category Promotion,2024-11-01,ALL,SMS,1489,317,95,2527.82,9966.89,3.03,2025-10-06 22:10:07.986423,1,675649999
473315,App Push Notification,2024-11-01,NEW USERS,Email,5817,987,53,4371.4,5119.87,2.07,2025-10-06 22:10:07.986423,1,1014740544
789925,Email Campaign,2024-11-01,INACTIVE,Email,9893,751,88,3569.0,6649.77,2.23,2025-10-06 22:10:07.986423,1,2099533904
249657,Referral Program,2024-11-01,ALL,Email,6898,977,15,4874.26,3343.94,2.82,2025-10-06 22:10:07.986423,1,364785995
795261,New User Discount,2024-10-31,NEW USERS,Email,7876,977,73,1813.53,6438.12,3.73,2025-10-06 22:10:07.986423,1,116799824
601445,Weekend Special,2024-10-31,INACTIVE,SMS,5624,386,70,3572.92,5202.67,1.96,2025-10-06 22:10:07.986423,1,1138603763
830587,Festival Offer,2024-10-31,INACTIVE,App,1081,662,47,2001.9,3301.92,3.52,2025-10-06 22:10:07.986423,1,759171301
706750,Flash Sale,2024-10-31,PREMIUM,App,4511,338,27,1645.66,2073.23,2.57,2025-10-06 22:10:07.986423,1,1405122725
584256,Membership Drive,2024-10-31,INACTIVE,SMS,1810,750,44,1279.23,5722.42,2.73,2025-10-06 22:10:07.986423,1,373206231
886076,Category Promotion,2024-10-31,PREMIUM,SMS,3930,591,25,4678.74,5102.75,1.78,2025-10-06 22:10:07.986423,1,2137935361
855895,App Push Notification,2024-10-31,PREMIUM,Email,8796,873,86,2339.85,3999.7,2.98,2025-10-06 22:10:07.986423,1,338152348
514715,Email Campaign,2024-10-31,NEW USERS,App,2341,369,38,2721.86,2480.73,3.48,2025-10-06 22:10:07.986423,1,1323233402
741376,Referral Program,2024-10-31,PREMIUM,Email,9694,799,32,3162.72,8424.83,2.48,2025-10-06 22:10:07.986423,1,1952387350
347837,New User Discount,2024-10-30,ALL,Email,8433,551,97,2510.51,7701.36,3.8,2025-10-06 22:10:07.986423,1,1935259021
358482,Weekend Special,2024-10-30,NEW USERS,App,4788,628,76,2603.2,2979.58,3.95,2025-10-06 22:10:07.986423,1,1375827583
510301,Festival Offer,2024-10-30,ALL,App,5744,207,47,1966.98,3566.39,2.67,2025-10-06 22:10:07.986423,1,1110074756
258760,Flash Sale,2024-10-30,NEW USERS,App,4130,779,89,1741.85,5487.39,1.56,2025-10-06 22:10:07.986423,1,1228979027
678723,Membership Drive,2024-10-30,INACTIVE,SMS,7316,950,54,1650.8,5407.95,2.13,2025-10-06 22:10:07.986423,1,2082003527
490727,Category Promotion,2024-10-30,PREMIUM,SMS,7583,501,30,4937.7,8031.55,1.93,2025-10-06 22:10:07.986423,1,686158674
378426,App Push Notification,2024-10-30,PREMIUM,App,2155,719,70,2233.21,6322.5,3.82,2025-10-06 22:10:07.986423,1,1374015841
158279,Email Campaign,2024-10-30,NEW USERS,Email,3245,443,30,1970.09,8773.38,3.74,2025-10-06 22:10:07.986423,1,1723041723
57394,Referral Program,2024-10-30,ALL,App,3328,377,75,3212.25,3778.57,1.74,2025-10-06 22:10:07.986423,1,311835341
633088,New User Discount,2024-10-29,PREMIUM,Email,3832,930,26,2133.42,3655.75,2.51,2025-10-06 22:10:07.986423,1,929384367
827451,Weekend Special,2024-10-29,ALL,SMS,6494,422,30,2744.72,4665.13,3.49,2025-10-06 22:10:07.986423,1,299725296
221166,Festival Offer,2024-10-29,NEW USERS,Email,2851,712,99,1415.72,7808.19,3.09,2025-10-06 22:10:07.986423,1,1895506126
581436,Flash Sale,2024-10-29,PREMIUM,App,2489,543,54,1101.24,8701.2,3.65,2025-10-06 22:10:07.986423,1,2029974711
399972,Membership Drive,2024-10-29,ALL,Email,5187,741,58,1185.35,2169.17,3.73,2025-10-06 22:10:07.986423,1,813614887
467912,Category Promotion,2024-10-29,ALL,SMS,3949,486,87,4568.63,9613.16,1.87,2025-10-06 22:10:07.986423,1,1703695767
928724,App Push Notification,2024-10-29,NEW USERS,Email,8668,660,36,3904.68,2757.27,3.05,2025-10-06 22:10:07.986423,1,1628580316
639165,Email Campaign,2024-10-29,INACTIVE,SMS,1771,226,98,2154.4,8055.52,1.74,2025-10-06 22:10:07.986423,1,201412092
270413,Referral Program,2024-10-29,ALL,Email,1377,278,43,2165.16,4371.9,3.85,2025-10-06 22:10:07.986423,1,36252616
652845,New User Discount,2024-10-28,ALL,SMS,4258,162,45,2098.74,8237.05,2.49,2025-10-06 22:10:07.986423,1,571899022
159675,Weekend Special,2024-10-28,INACTIVE,Email,2239,183,85,1183.89,9661.81,3.17,2025-10-06 22:10:07.986423,1,423223165
89176,Festival Offer,2024-10-28,ALL,SMS,1666,508,20,3586.46,3395.18,3.25,2025-10-06 22:10:07.986423,1,525687035
294030,Flash Sale,2024-10-28,INACTIVE,App,1679,965,57,1452.05,6109.1,3.05,2025-10-06 22:10:07.986423,1,412123294
448860,Membership Drive,2024-10-28,NEW USERS,Email,2775,396,33,4290.98,8723.84,2.1,2025-10-06 22:10:07.986423,1,949272495
618403,Category Promotion,2024-10-28,INACTIVE,App,1153,198,99,3455.94,4935.65,1.84,2025-10-06 22:10:07.986423,1,1052392904
795975,App Push Notification,2024-10-28,INACTIVE,SMS,6100,642,66,3409.53,9276.19,2.56,2025-10-06 22:10:07.986423,1,358699572
453312,Email Campaign,2024-10-28,NEW USERS,App,1618,301,32,3165.37,7731.79,2.61,2025-10-06 22:10:07.986423,1,866961864
468423,Referral Program,2024-10-28,NEW USERS,Email,1927,298,96,2617.58,9553.44,3.03,2025-10-06 22:10:07.986423,1,495282108
359366,New User Discount,2024-10-27,ALL,Email,1685,999,46,1055.61,4223.44,1.55,2025-10-06 22:10:07.986423,1,855619782
69903,Weekend Special,2024-10-27,INACTIVE,App,1085,706,41,4118.41,3837.05,2.72,2025-10-06 22:10:07.986423,1,1503437645
613932,Festival Offer,2024-10-27,PREMIUM,App,4726,709,59,3577.71,3104.01,1.94,2025-10-06 22:10:07.986423,1,1332391773
992886,Flash Sale,2024-10-27,PREMIUM,Email,9194,537,42,2925.63,3760.51,1.66,2025-10-06 22:10:07.986423,1,448366078
380809,Membership Drive,2024-10-27,INACTIVE,Email,3122,496,84,2365.57,2572.69,3.47,2025-10-06 22:10:07.986423,1,1996678583
509178,Category Promotion,2024-10-27,PREMIUM,Social Media,6487,644,48,3457.17,2472.34,1.62,2025-10-06 22:10:07.986423,1,712975622
794495,App Push Notification,2024-10-27,NEW USERS,App,3049,634,58,2093.96,7406.66,2.9,2025-10-06 22:10:07.986423,1,834313973
880379,Email Campaign,2024-10-27,ALL,App,2399,335,41,4785.81,9369.74,2.39,2025-10-06 22:10:07.986423,1,954553098
561555,Referral Program,2024-10-27,ALL,Social Media,4881,102,89,4549.44,8205.53,1.93,2025-10-06 22:10:07.986423,1,671985934
530223,New User Discount,2024-10-26,INACTIVE,App,8865,176,27,1137.88,6799.15,2.54,2025-10-06 22:10:07.986423,1,1220277314
495008,Weekend Special,2024-10-26,PREMIUM,SMS,7698,120,100,4992.5,3353.4,2.3,2025-10-06 22:10:07.986423,1,1701405523
565307,Festival Offer,2024-10-26,PREMIUM,SMS,1600,241,72,4917.53,7945.34,1.82,2025-10-06 22:10:07.986423,1,1961700725
842270,Flash Sale,2024-10-26,INACTIVE,SMS,9800,758,53,3310.25,8683.82,2.47,2025-10-06 22:10:07.986423,1,588070990
737765,Membership Drive,2024-10-26,NEW USERS,SMS,9214,909,48,3400.97,9608.9,3.65,2025-10-06 22:10:07.986423,1,86985059
521471,Category Promotion,2024-10-26,ALL,SMS,2315,704,100,4403.4,9400.79,3.16,2025-10-06 22:10:07.986423,1,2044249870
42263,App Push Notification,2024-10-26,INACTIVE,Email,1723,258,81,1558.93,8570.27,2.02,2025-10-06 22:10:07.986423,1,144900248
664981,Email Campaign,2024-10-26,NEW USERS,Social Media,1002,705,63,3599.79,4311.79,4.0,2025-10-06 22:10:07.986423,1,246829897
887586,Referral Program,2024-10-26,INACTIVE,Social Media,3797,149,50,3393.94,6539.92,3.45,2025-10-06 22:10:07.986423,1,1902301191
408371,New User Discount,2024-10-25,NEW USERS,App,7239,579,61,4575.26,6288.51,3.88,2025-10-06 22:10:07.986423,1,456433183
993186,Weekend Special,2024-10-25,PREMIUM,Email,2258,513,75,2383.71,5454.96,2.39,2025-10-06 22:10:07.986423,1,513218912
762331,Festival Offer,2024-10-25,INACTIVE,App,5882,577,19,4474.48,4596.52,2.79,2025-10-06 22:10:07.986423,1,1812733287
209173,Flash Sale,2024-10-25,PREMIUM,Email,8130,137,18,1715.46,9959.51,2.33,2025-10-06 22:10:07.986423,1,890562773
903905,Membership Drive,2024-10-25,INACTIVE,App,6268,973,15,3117.62,8722.31,2.13,2025-10-06 22:10:07.986423,1,45788744
668975,Category Promotion,2024-10-25,NEW USERS,App,5437,972,80,4583.85,7105.69,1.59,2025-10-06 22:10:07.986423,1,1408903808
680570,App Push Notification,2024-10-25,INACTIVE,Email,7010,202,34,1599.34,7806.21,2.99,2025-10-06 22:10:07.986423,1,410341617
192501,Email Campaign,2024-10-25,INACTIVE,Email,4970,343,53,1947.23,9461.87,3.41,2025-10-06 22:10:07.986423,1,1041389818
982430,Referral Program,2024-10-25,PREMIUM,Email,5429,795,82,2842.37,4914.0,2.81,2025-10-06 22:10:07.986423,1,1369819395
698056,New User Discount,2024-10-24,ALL,App,3144,877,18,3704.05,3732.06,2.59,2025-10-06 22:10:07.986423,1,1376942272
941069,Weekend Special,2024-10-24,NEW USERS,Social Media,5133,389,70,2318.95,4311.21,2.18,2025-10-06 22:10:07.986423,1,1939908189
602540,Festival Offer,2024-10-24,INACTIVE,App,6569,620,64,3218.48,2901.45,2.69,2025-10-06 22:10:07.986423,1,2088998931
575585,Flash Sale,2024-10-24,INACTIVE,App,8501,258,57,2437.64,8650.4,2.45,2025-10-06 22:10:07.986423,1,359471227
552893,Membership Drive,2024-10-24,INACTIVE,Social Media,9012,259,38,1598.76,2093.56,2.33,2025-10-06 22:10:07.986423,1,350291092
882671,Category Promotion,2024-10-24,INACTIVE,Email,7685,540,47,2199.05,4937.69,1.83,2025-10-06 22:10:07.986423,1,503140025
729422,App Push Notification,2024-10-24,INACTIVE,Social Media,1753,984,16,4052.53,6151.03,1.59,2025-10-06 22:10:07.986423,1,1980339120
315890,Email Campaign,2024-10-24,NEW USERS,SMS,7736,953,70,2749.84,5113.71,3.28,2025-10-06 22:10:07.986423,1,657886139
242619,Referral Program,2024-10-24,INACTIVE,Social Media,3112,391,48,4882.83,3755.92,3.74,2025-10-06 22:10:07.986423,1,1789368418
457841,New User Discount,2024-10-23,NEW USERS,SMS,8261,557,54,2599.3,3748.91,1.63,2025-10-06 22:10:07.986423,1,455908862
334424,Weekend Special,2024-10-23,INACTIVE,SMS,6370,604,70,3516.78,2866.2,3.1,2025-10-06 22:10:07.986423,1,1810326613
489132,Festival Offer,2024-10-23,NEW USERS,Social Media,4553,469,12,2363.94,6845.16,2.18,2025-10-06 22:10:07.986423,1,531966772
554438,Flash Sale,2024-10-23,ALL,Social Media,7358,367,41,2165.36,2312.68,3.34,2025-10-06 22:10:07.986423,1,637622602
204191,Membership Drive,2024-10-23,ALL,Social Media,9385,492,43,1921.19,9824.3,3.58,2025-10-06 22:10:07.986423,1,1351023358
586930,Category Promotion,2024-10-23,INACTIVE,Social Media,7577,598,15,2804.3,9402.79,3.65,2025-10-06 22:10:07.986423,1,1222037882
814199,App Push Notification,2024-10-23,NEW USERS,SMS,8240,341,50,4191.03,6688.85,2.37,2025-10-06 22:10:07.986423,1,1536443555
871629,Email Campaign,2024-10-23,ALL,App,2233,547,27,4199.36,5655.15,3.56,2025-10-06 22:10:07.986423,1,1023057406
697944,Referral Program,2024-10-23,INACTIVE,App,4653,188,51,2303.42,4678.46,3.09,2025-10-06 22:10:07.986423,1,566479727
776669,New User Discount,2024-10-22,INACTIVE,App,6516,252,34,4332.69,7080.93,3.26,2025-10-06 22:10:07.986423,1,1779188535
845527,Weekend Special,2024-10-22,INACTIVE,Social Media,9587,810,77,1323.74,3364.59,1.71,2025-10-06 22:10:07.986423,1,842393308
932133,Festival Offer,2024-10-22,ALL,Email,6955,317,78,3341.07,5741.39,3.73,2025-10-06 22:10:07.986423,1,63220474
130164,Flash Sale,2024-10-22,PREMIUM,Social Media,6347,665,75,3934.71,4725.54,1.63,2025-10-06 22:10:07.986423,1,1966846382
547470,Membership Drive,2024-10-22,PREMIUM,SMS,9964,465,33,2695.95,3392.76,3.53,2025-10-06 22:10:07.986423,1,937675220
530361,Category Promotion,2024-10-22,INACTIVE,Email,8285,530,29,3909.95,5650.29,2.03,2025-10-06 22:10:07.986423,1,965213568
181070,App Push Notification,2024-10-22,INACTIVE,SMS,7265,110,22,2495.46,8618.53,1.94,2025-10-06 22:10:07.986423,1,367099579
27596,Email Campaign,2024-10-22,PREMIUM,Social Media,2648,898,24,3747.0,7410.91,2.99,2025-10-06 22:10:07.986423,1,129353332
518109,Referral Program,2024-10-22,PREMIUM,SMS,3803,207,42,1671.16,5232.93,3.47,2025-10-06 22:10:07.986423,1,262190870
980545,New User Discount,2024-10-21,PREMIUM,SMS,6378,149,31,4974.32,9771.12,1.73,2025-10-06 22:10:07.986423,1,48814940
963463,Weekend Special,2024-10-21,NEW USERS,Email,8974,479,39,1741.34,7019.71,2.03,2025-10-06 22:10:07.986423,1,178014875
362162,Festival Offer,2024-10-21,PREMIUM,SMS,4976,562,79,1855.65,2736.38,3.13,2025-10-06 22:10:07.986423,1,1367789312
837030,Flash Sale,2024-10-21,ALL,SMS,9348,397,30,4546.79,8518.37,3.77,2025-10-06 22:10:07.986423,1,1829942892
533144,Membership Drive,2024-10-21,INACTIVE,App,7432,627,23,1618.63,8290.49,3.9,2025-10-06 22:10:07.986423,1,265348606
942737,Category Promotion,2024-10-21,PREMIUM,SMS,9433,593,61,1670.95,5415.89,1.99,2025-10-06 22:10:07.986423,1,909439960
8328,App Push Notification,2024-10-21,ALL,Email,3212,747,63,3964.61,7024.84,2.44,2025-10-06 22:10:07.986423,1,54742657
446559,Email Campaign,2024-10-21,ALL,Email,4395,786,53,1766.03,4554.83,1.68,2025-10-06 22:10:07.986423,1,1913577173
929421,Referral Program,2024-10-21,ALL,Social Media,7680,829,81,1652.23,2181.47,3.94,2025-10-06 22:10:07.986423,1,400686983
415106,New User Discount,2024-10-20,ALL,SMS,5143,930,88,4882.61,2535.36,1.71,2025-10-06 22:10:07.986423,1,790202915
38153,Weekend Special,2024-10-20,ALL,App,7842,559,20,1927.22,8434.35,2.15,2025-10-06 22:10:07.986423,1,1571831682
523833,Festival Offer,2024-10-20,ALL,SMS,9486,347,43,1686.15,5813.55,3.61,2025-10-06 22:10:07.986423,1,1046962436
170461,Flash Sale,2024-10-20,NEW USERS,SMS,2952,393,38,4037.84,4531.27,3.74,2025-10-06 22:10:07.986423,1,1279294254
109449,Membership Drive,2024-10-20,PREMIUM,App,8414,748,63,2195.8,3019.02,2.4,2025-10-06 22:10:07.986423,1,1167617915
687130,Category Promotion,2024-10-20,ALL,Email,4330,822,31,1104.8,6592.8,2.55,2025-10-06 22:10:07.986423,1,754666858
479853,App Push Notification,2024-10-20,PREMIUM,SMS,6870,227,92,4219.18,4713.09,2.5,2025-10-06 22:10:07.986423,1,778711360
683250,Email Campaign,2024-10-20,INACTIVE,Email,8382,926,37,1921.49,6651.93,2.88,2025-10-06 22:10:07.986423,1,437785134
794159,Referral Program,2024-10-20,INACTIVE,Social Media,3200,998,79,1614.98,4026.68,2.57,2025-10-06 22:10:07.986423,1,1366244497
593428,New User Discount,2024-10-19,NEW USERS,SMS,1554,121,97,2667.73,6000.11,3.88,2025-10-06 22:10:07.986423,1,2054683561
579105,Weekend Special,2024-10-19,NEW USERS,Social Media,7754,920,41,2335.89,4374.42,3.55,2025-10-06 22:10:07.986423,1,1091715377
494867,Festival Offer,2024-10-19,NEW USERS,Social Media,4586,977,87,2372.56,3816.48,3.11,2025-10-06 22:10:07.986423,1,1123373443
972242,Flash Sale,2024-10-19,NEW USERS,App,2553,551,51,4591.88,6236.89,2.52,2025-10-06 22:10:07.986423,1,476729906
762572,Membership Drive,2024-10-19,ALL,Social Media,6285,971,52,3257.45,2757.61,1.98,2025-10-06 22:10:07.986423,1,611858806
736483,Category Promotion,2024-10-19,PREMIUM,Email,8086,938,23,4006.13,8109.27,3.31,2025-10-06 22:10:07.986423,1,2043828784
822872,App Push Notification,2024-10-19,INACTIVE,SMS,3595,244,72,3807.41,4183.31,2.13,2025-10-06 22:10:07.986423,1,165392689
444700,Email Campaign,2024-10-19,NEW USERS,App,3648,917,65,1167.11,9601.21,3.35,2025-10-06 22:10:07.986423,1,2067025117
382659,Referral Program,2024-10-19,PREMIUM,App,6139,355,77,4850.15,5703.32,3.53,2025-10-06 22:10:07.986423,1,1330432017
911817,New User Discount,2024-10-18,NEW USERS,App,2358,459,76,3039.4,3814.89,1.78,2025-10-06 22:10:07.986423,1,866841436
977198,Weekend Special,2024-10-18,PREMIUM,Social Media,1311,828,21,3593.2,8054.46,1.84,2025-10-06 22:10:07.986423,1,1361832746
338461,Festival Offer,2024-10-18,INACTIVE,App,8837,717,85,2017.25,6910.97,3.49,2025-10-06 22:10:07.986423,1,84346806
490083,Flash Sale,2024-10-18,NEW USERS,App,8394,490,95,1419.59,2756.89,3.38,2025-10-06 22:10:07.986423,1,1074424486
538898,Membership Drive,2024-10-18,NEW USERS,App,1025,971,57,1872.13,3381.51,3.61,2025-10-06 22:10:07.986423,1,2652372
570365,Category Promotion,2024-10-18,INACTIVE,Social Media,5313,591,76,1187.93,7750.31,2.17,2025-10-06 22:10:07.986423,1,1038659627
71028,App Push Notification,2024-10-18,INACTIVE,App,9195,547,39,3435.03,9024.93,3.14,2025-10-06 22:10:07.986423,1,701232305
914119,Email Campaign,2024-10-18,NEW USERS,Email,7683,319,37,4746.76,5034.95,3.8,2025-10-06 22:10:07.986423,1,1879419415
277306,Referral Program,2024-10-18,PREMIUM,Social Media,2064,390,12,1312.97,4952.09,1.65,2025-10-06 22:10:07.986423,1,1688054688
992859,New User Discount,2024-10-17,INACTIVE,SMS,6077,157,29,4324.59,3798.75,3.78,2025-10-06 22:10:07.986423,1,1864528664
38680,Weekend Special,2024-10-17,PREMIUM,App,6986,769,13,2756.39,3006.93,2.15,2025-10-06 22:10:07.986423,1,596422347
627466,Festival Offer,2024-10-17,INACTIVE,SMS,6475,330,17,3389.57,6934.82,1.94,2025-10-06 22:10:07.986423,1,1862287052
721480,Flash Sale,2024-10-17,PREMIUM,App,4621,846,89,2010.23,4857.76,2.62,2025-10-06 22:10:07.986423,1,647017341
463470,Membership Drive,2024-10-17,PREMIUM,Email,4866,843,10,2036.43,9742.66,1.54,2025-10-06 22:10:07.986423,1,1820286433
611505,Category Promotion,2024-10-17,INACTIVE,Social Media,7936,927,82,4318.97,7069.93,3.56,2025-10-06 22:10:07.986423,1,2081294612
978930,App Push Notification,2024-10-17,NEW USERS,SMS,1465,194,75,1536.67,6191.95,3.76,2025-10-06 22:10:07.986423,1,1074928592
408445,Email Campaign,2024-10-17,NEW USERS,App,2312,487,68,2525.56,9208.83,2.82,2025-10-06 22:10:07.986423,1,1494269150
848590,Referral Program,2024-10-17,INACTIVE,Email,9067,787,93,1057.25,9577.92,3.12,2025-10-06 22:10:07.986423,1,987020854
942963,New User Discount,2024-10-16,INACTIVE,Email,3217,359,12,1361.43,8734.81,1.51,2025-10-06 22:10:07.986423,1,1684842996
94992,Weekend Special,2024-10-16,ALL,App,7529,547,79,4082.14,2765.4,3.46,2025-10-06 22:10:07.986423,1,974239985
34191,Festival Offer,2024-10-16,INACTIVE,Social Media,3138,724,13,1622.33,7683.62,3.58,2025-10-06 22:10:07.986423,1,134449947
358462,Flash Sale,2024-10-16,INACTIVE,App,4765,411,60,2277.77,6766.63,3.26,2025-10-06 22:10:07.986423,1,1537262377
511991,Membership Drive,2024-10-16,ALL,SMS,9683,100,92,2353.78,4471.61,2.95,2025-10-06 22:10:07.986423,1,1189283578
234036,Category Promotion,2024-10-16,INACTIVE,SMS,2176,167,57,4239.19,8603.76,1.62,2025-10-06 22:10:07.986423,1,1548282788
460964,App Push Notification,2024-10-16,ALL,SMS,5570,150,37,2175.55,2538.18,2.74,2025-10-06 22:10:07.986423,1,1088320579
562835,Email Campaign,2024-10-16,ALL,SMS,3914,241,25,3267.78,3558.02,1.95,2025-10-06 22:10:07.986423,1,1711464660
569002,Referral Program,2024-10-16,PREMIUM,Social Media,5481,759,55,4609.27,3819.5,3.26,2025-10-06 22:10:07.986423,1,180619062
686645,New User Discount,2024-10-15,ALL,Social Media,4109,649,86,2389.82,9766.72,3.23,2025-10-06 22:10:07.986423,1,83505390
914931,Weekend Special,2024-10-15,NEW USERS,Social Media,5724,877,67,3027.31,3345.95,2.02,2025-10-06 22:10:07.986423,1,1180334801
843274,Festival Offer,2024-10-15,PREMIUM,Social Media,1034,968,58,4438.6,2588.21,3.86,2025-10-06 22:10:07.986423,1,356020879
308911,Flash Sale,2024-10-15,NEW USERS,Social Media,4919,661,63,4818.43,5003.95,2.67,2025-10-06 22:10:07.986423,1,276502296
320610,Membership Drive,2024-10-15,ALL,SMS,5174,376,81,3036.37,4448.69,3.69,2025-10-06 22:10:07.986423,1,1767206747
487151,Category Promotion,2024-10-15,ALL,Social Media,3416,685,98,4018.36,2170.94,2.3,2025-10-06 22:10:07.986423,1,212863234
390634,App Push Notification,2024-10-15,PREMIUM,Email,8930,361,94,1510.67,4795.86,3.29,2025-10-06 22:10:07.986423,1,829376672
411434,Email Campaign,2024-10-15,INACTIVE,Email,3597,149,48,4273.24,5148.84,2.75,2025-10-06 22:10:07.986423,1,1009839978
